Date,open,high,low,close,volume
2012-10-04,394.88,398.75,394.2,395.97,5827181
2012-10-05,399.22,400.19,316.79,398.24,7252375
2012-10-08,396.73,396.73,378.95,380.42,9642125
2012-10-09,383.25,383.8,377.49,378.51,5354197
2012-10-10,376.52,381.76,374.84,378.84,4329302
2012-10-11,380.23,381.62,375.73,380.67,5472058
2012-10-12,380.14,383.67,378.86,380.18,4904139
2012-10-15,380.23,385.29,380.23,382.11,5160103
2012-10-16,389.47,389.96,376.05,377.19,10232355
2012-10-17,378.86,379.49,372.13,373.8,9652460
2012-10-18,374.77,378.84,370.02,376.66,12276649
2012-10-19,374.98,376.28,371.11,372.71,5837376
2012-10-22,369.18,379.28,367.56,378.65,6537307
2012-10-23,377.68,378.28,373.64,376.03,4381354
2012-10-25,376.1,380.09,374.75,376.24,8333146
2012-10-29,372.5,378.09,372.5,376.61,5070092
2012-10-30,376.05,376.89,371.01,372.92,4309203
2012-10-31,372.87,374.82,370.48,373.96,4348470
2012-11-01,369.09,375.49,366.16,374.71,8481957
2012-11-02,376.98,378.33,372.57,375.1,5329269
2012-11-05,373.1,375.56,372.27,374.26,2338211
2012-11-06,373.27,374.84,369.67,373.94,7130238
2012-11-07,372.34,373.87,370.48,371.8,4807914
2012-11-08,368.16,370.62,366.65,369.83,5729271
2012-11-09,368.32,373.03,364.45,365.68,4889734
2012-11-12,364.84,366.49,361.66,365.21,5843120
2012-11-15,366.23,366.23,360.75,364.26,7038975
2012-11-16,365.56,368.0,357.95,359.87,6626155
2012-11-19,359.92,361.31,353.47,359.48,9564034
2012-11-20,362.45,362.45,353.86,355.32,4353800
2012-11-21,355.86,359.29,353.35,358.04,3974851
2012-11-22,358.9,359.2,353.49,355.55,4839706
2012-11-23,355.62,360.17,355.62,359.22,3447158
2012-11-26,359.76,361.87,357.95,359.18,2096510
2012-11-27,360.73,365.84,359.34,365.28,4988158
2012-11-29,364.91,373.27,363.35,370.62,9051975
2012-11-30,369.58,375.12,366.77,368.48,8420025
2012-12-03,369.09,374.66,366.65,373.27,4762756
2012-12-04,374.26,383.34,374.19,382.88,7051360
2012-12-05,384.52,388.63,380.97,386.54,6237831
2012-12-06,388.1,392.7,381.62,391.79,5323356
2012-12-07,390.47,394.48,385.55,387.47,6086633
2012-12-10,387.47,389.03,381.27,384.55,3774070
2012-12-11,386.27,389.21,378.14,380.72,7500949
2012-12-12,383.02,387.57,380.39,386.54,4671957
2012-12-13,386.54,390.44,385.52,387.31,5354821
2012-12-14,387.43,393.14,384.64,389.63,4130622
2012-12-17,387.43,392.02,385.8,387.26,3344204
2012-12-18,387.43,389.72,383.48,385.99,3690237
2012-12-19,387.75,391.4,387.22,389.75,4023813
2012-12-20,390.88,390.88,385.1,388.98,4420048
2012-12-21,386.73,387.43,381.72,383.13,4339348
2012-12-24,383.29,384.11,378.65,381.02,2632412
2012-12-26,381.62,388.08,381.62,384.52,2687673
2012-12-27,385.48,386.27,378.42,379.63,7431009
2012-12-28,382.32,392.77,381.41,390.1,6715100
2012-12-31,390.12,394.53,388.49,389.77,4490742
2013-01-01,391.84,393.04,389.56,390.3,3152667
2013-01-02,391.84,397.41,391.16,393.67,6203434
2013-01-03,393.97,400.19,392.12,399.61,7968629
2013-01-04,400.15,401.4,396.27,400.12,6140890
2013-01-07,401.91,404.37,395.46,397.69,7064261
2013-01-08,396.99,398.38,393.65,394.92,6448905
2013-01-09,395.74,399.2,394.0,395.88,7878644
2013-01-10,398.22,398.78,393.23,394.65,4264172
2013-01-11,395.78,396.01,388.24,389.93,3715209
2013-01-14,390.44,396.01,389.52,393.48,3258598
2013-01-15,392.83,395.46,389.05,393.3,4793989
2013-01-16,392.79,404.33,392.79,399.89,9022900
2013-01-17,400.24,414.84,399.15,413.19,10207239
2013-01-18,415.51,419.2,411.17,417.93,10501297
2013-01-21,435.52,443.37,426.22,427.1,20286308
2013-01-22,427.12,432.09,425.05,427.14,8613623
2013-01-23,428.1,431.21,425.36,428.54,5400448
2013-01-24,429.44,431.0,421.08,425.05,6201657
2013-01-25,425.38,425.89,420.2,423.5,6501830
2013-01-28,423.1,423.94,415.51,416.7,6184550
2013-01-29,415.51,418.76,408.6,409.87,7125282
2013-01-30,412.03,419.41,412.03,417.56,8141748
2013-01-31,416.28,416.91,409.99,411.64,7722548
2013-02-01,413.82,417.74,410.22,415.05,3762524
2013-02-04,416.0,418.3,410.45,411.66,6321183
2013-02-05,410.41,411.29,405.3,406.11,4480439
2013-02-06,408.76,409.9,404.28,406.53,4558007
2013-02-07,404.65,409.48,403.14,405.25,3942395
2013-02-08,403.88,405.76,397.87,400.91,4423115
2013-02-11,401.59,406.23,399.54,403.16,3844245
2013-02-12,403.26,408.71,401.68,406.44,4489795
2013-02-13,410.41,412.26,405.07,408.09,4861085
2013-02-14,408.55,410.15,395.09,397.43,5669500
2013-02-15,396.9,398.06,387.24,392.67,6641223
2013-02-18,393.69,396.76,391.47,393.46,2450597
2013-02-19,394.16,396.94,387.31,393.88,4465943
2013-02-20,398.31,408.02,397.69,406.14,6864000
2013-02-21,403.44,407.06,396.32,398.89,7483003
2013-02-22,398.57,404.84,398.34,400.47,4488226
2013-02-25,401.12,401.56,395.09,396.64,4558920
2013-02-26,394.48,394.48,380.11,382.32,6218671
2013-02-27,385.34,390.42,384.01,385.94,8172768
2013-02-28,388.68,389.77,374.08,377.84,12768708
2013-03-01,378.84,380.0,373.96,376.24,6417934
2013-03-04,375.54,379.88,373.68,377.26,6898502
2013-03-05,380.28,387.4,380.28,383.64,6073047
2013-03-06,386.22,389.24,383.8,387.77,4974092
2013-03-07,385.92,390.68,382.57,388.35,4859539
2013-03-08,391.37,396.8,389.98,395.23,4675892
2013-03-11,395.6,399.54,390.0,392.07,4877596
2013-03-12,394.85,396.71,391.63,393.62,3946988
2013-03-13,391.0,397.69,390.07,392.3,4338974
2013-03-14,391.84,400.87,387.77,399.29,6825747
2013-03-15,401.47,403.63,389.19,391.67,5904119
2013-03-18,387.66,391.6,385.71,387.33,3702764
2013-03-19,388.4,389.52,376.93,383.02,8293306
2013-03-20,385.06,385.24,377.61,381.95,9312667
2013-03-21,383.02,386.64,373.61,377.26,7688640
2013-03-22,375.26,381.16,373.43,376.33,5481226
2013-03-25,380.97,382.25,372.45,375.7,6488072
2013-03-26,372.57,373.73,362.12,363.68,8983383
2013-03-28,364.45,364.89,354.88,358.83,12236024
2013-04-01,362.59,367.14,359.25,361.54,3842729
2013-04-02,362.22,369.78,361.33,368.58,5127612
2013-04-03,370.39,370.94,357.95,360.52,4301892
2013-04-04,358.64,361.17,354.79,356.34,5499074
2013-04-05,357.02,363.24,356.41,362.17,5994776
2013-04-08,361.24,368.79,361.2,366.49,4097473
2013-04-09,367.74,369.37,357.99,360.71,6037288
2013-04-10,362.17,363.96,358.22,361.85,5625802
2013-04-11,363.98,364.49,354.77,357.99,5274265
2013-04-12,356.09,362.31,355.16,359.96,5237928
2013-04-15,358.9,371.39,358.9,368.44,7469100
2013-04-16,370.02,376.05,364.63,373.71,8202977
2013-04-17,374.12,375.87,357.11,359.2,14816785
2013-04-18,360.5,364.54,358.71,362.87,6365615
2013-04-22,364.91,368.95,361.33,366.65,5902995
2013-04-23,367.46,374.1,364.93,373.13,5702397
2013-04-25,374.94,383.76,374.94,380.53,11962780
2013-04-26,377.44,383.02,366.63,367.88,9623230
2013-04-29,368.21,370.9,366.05,368.0,9676988
2013-04-30,368.46,369.85,360.8,365.93,8098842
2013-05-02,365.56,374.66,363.7,372.76,12569531
2013-05-03,372.8,378.79,369.04,371.64,5961256
2013-05-06,372.43,382.99,372.43,381.44,4318845
2013-05-07,381.39,388.08,380.53,384.48,7628531
2013-05-08,385.38,386.68,381.65,385.17,5472648
2013-05-09,384.59,386.1,378.37,379.81,3776240
2013-05-10,382.44,385.16,379.86,381.62,4191217
2013-05-13,381.81,387.51,374.98,376.95,4193755
2013-05-14,375.8,379.77,373.47,374.67,4074156
2013-05-15,376.48,385.3,376.48,384.46,5194387
2013-05-16,383.05,396.1,382.82,394.62,7013660
2013-05-17,394.62,396.52,386.48,392.21,5761817
2013-05-20,393.1,401.36,389.04,390.16,6109263
2013-05-21,390.14,394.32,387.42,388.97,4889237
2013-05-22,389.67,391.5,381.88,384.34,5805340
2013-05-23,381.01,383.05,366.2,368.24,5906338
2013-05-24,372.44,373.05,365.78,369.18,3680641
2013-05-27,376.83,390.94,376.01,388.83,8748407
2013-05-28,389.62,397.56,387.84,395.91,10030494
2013-05-29,394.55,398.92,391.24,398.03,11884723
2013-05-30,396.66,397.13,389.62,392.82,8410878
2013-05-31,391.55,392.32,376.53,378.5,7919053
2013-06-03,377.28,378.05,368.62,369.86,6537204
2013-06-04,371.13,375.45,365.75,366.25,6808364
2013-06-05,366.39,377.56,366.39,376.48,5883588
2013-06-06,375.54,377.37,369.95,371.79,7897828
2013-06-07,372.82,376.48,366.62,367.84,4347652
2013-06-10,370.38,373.43,367.09,370.54,5243274
2013-06-11,367.79,371.55,363.95,368.78,6111256
2013-06-12,367.58,374.37,367.18,371.22,5895460
2013-06-13,367.56,372.21,366.41,370.75,4488674
2013-06-14,373.76,384.86,373.71,382.42,8111143
2013-06-17,382.82,388.64,380.75,387.53,5117870
2013-06-18,386.67,393.14,383.73,386.52,7226327
2013-06-19,385.87,391.15,382.53,390.42,7998505
2013-06-20,383.94,383.94,373.19,374.6,8040439
2013-06-21,375.49,380.4,367.84,372.18,9454388
2013-06-24,370.85,373.73,365.45,372.09,7527814
2013-06-25,375.4,384.88,373.19,377.32,8875739
2013-06-26,379.98,382.32,376.06,377.23,7689189
2013-06-27,383.29,392.89,382.3,389.62,11884309
2013-06-28,408.17,409.81,397.13,404.93,22213692
2013-07-01,404.64,416.85,401.66,415.77,9459617
2013-07-02,414.55,418.63,407.81,409.27,8205323
2013-07-03,403.94,405.28,398.33,399.41,5914795
2013-07-04,400.47,408.68,397.77,404.48,6107263
2013-07-05,406.69,415.32,406.69,413.26,5887182
2013-07-08,408.4,410.02,402.84,406.97,6577799
2013-07-09,407.98,413.94,407.02,410.65,5963620
2013-07-10,410.4,413.02,393.85,401.83,10262583
2013-07-11,406.05,409.95,403.35,408.42,5246331
2013-07-12,410.4,420.61,408.21,417.77,6632664
2013-07-15,415.91,422.44,415.91,421.0,5959455
2013-07-16,416.38,424.57,414.53,422.76,5987819
2013-07-17,423.89,430.89,423.89,429.5,10675519
2013-07-18,430.93,431.85,426.8,430.58,5678091
2013-07-19,431.43,435.58,428.61,433.61,6598806
2013-07-22,429.52,429.52,421.99,426.73,7826454
2013-07-23,428.14,434.22,425.89,426.97,5736883
2013-07-24,426.24,430.42,420.21,426.87,6363428
2013-07-25,425.28,428.21,411.9,418.14,7306140
2013-07-26,418.82,424.22,415.65,417.86,4414433
2013-07-29,416.4,421.85,414.29,415.77,4223349
2013-07-30,416.4,418.73,400.84,402.46,5257883
2013-07-31,403.07,412.95,395.54,409.36,7289738
2013-08-01,410.82,414.43,396.59,399.01,5109421
2013-08-02,403.71,409.32,399.01,402.46,5917313
2013-08-05,403.71,409.76,401.71,404.43,5796036
2013-08-06,402.98,405.68,389.69,394.81,5729756
2013-08-07,396.66,413.96,390.09,409.55,8673806
2013-08-08,407.16,409.55,402.37,406.36,5245967
2013-08-12,407.93,409.74,394.53,396.97,4028370
2013-08-13,395.73,403.68,391.97,400.37,5324325
2013-08-14,401.83,407.46,397.81,406.05,5196608
2013-08-16,406.05,406.99,383.59,388.07,12609054
2013-08-19,386.34,391.5,379.08,385.05,7453286
2013-08-20,380.75,390.0,377.91,387.44,5269817
2013-08-21,391.03,391.83,366.25,367.84,7250788
2013-08-22,367.3,379.6,363.43,378.4,10288567
2013-08-23,381.97,387.14,379.53,384.69,6614304
2013-08-26,386.1,390.3,379.48,386.15,4576248
2013-08-27,382.11,387.23,375.54,377.07,6043286
2013-08-28,373.24,384.25,358.59,381.08,11912762
2013-08-29,383.05,400.61,381.41,396.78,14231655
2013-08-30,396.1,403.71,388.83,400.82,9896292
2013-09-02,400.51,417.79,400.51,416.26,9715700
2013-09-03,416.94,418.59,388.83,390.09,7996351
2013-09-04,391.38,405.84,391.03,398.71,6148837
2013-09-05,405.11,408.28,399.53,404.9,6578286
2013-09-06,408.4,410.04,395.02,407.46,6944793
2013-09-10,409.76,419.46,406.64,417.95,8534870
2013-09-11,417.32,419.15,410.35,416.73,6858283
2013-09-12,416.85,422.95,408.94,410.94,8297432
2013-09-13,407.46,414.83,407.02,409.81,4534678
2013-09-16,415.89,416.71,400.89,404.53,5561268
2013-09-17,401.99,405.58,400.23,402.84,5044239
2013-09-18,403.94,410.75,402.2,409.32,6324507
2013-09-19,416.87,420.58,413.35,418.07,8738734
2013-09-20,415.91,422.95,408.63,413.99,8474287
2013-09-23,409.36,413.56,406.05,410.44,4095813
2013-09-24,409.34,415.23,407.53,410.56,5700881
2013-09-25,409.53,410.7,395.35,398.57,8063566
2013-09-26,397.44,399.08,392.09,393.5,9172301
2013-09-27,395.26,401.12,392.91,394.27,5540985
2013-09-30,390.59,396.43,384.51,386.06,7348375
2013-10-01,387.89,389.58,383.85,385.61,4203648
2013-10-03,386.52,398.5,386.52,397.58,4203488
2013-10-04,394.58,403.57,393.38,401.08,4573394
2013-10-07,397.89,400.14,392.44,396.22,5199129
2013-10-08,398.87,401.22,393.94,396.64,5593060
2013-10-09,394.29,407.3,393.14,404.13,5517055
2013-10-10,403.24,405.02,398.1,403.71,4324826
2013-10-11,406.05,407.46,401.03,405.28,4510285
2013-10-14,406.05,410.75,405.21,408.54,5610446
2013-10-15,421.22,421.85,405.58,407.37,10633750
2013-10-17,408.4,416.85,405.89,413.26,8128633
2013-10-18,413.85,426.24,413.85,425.14,10234853
2013-10-21,425.14,429.76,420.68,428.68,6988768
2013-10-22,425.96,427.62,421.31,424.45,4728607
2013-10-23,424.92,426.8,416.69,420.96,4128159
2013-10-24,418.75,427.65,413.73,415.21,5407439
2013-10-25,415.02,419.1,412.79,416.38,4589959
2013-10-28,416.85,424.76,416.78,418.14,7095266
2013-10-29,417.37,424.34,414.93,420.98,6668965
2013-10-30,420.84,423.84,420.0,421.61,4437219
2013-10-31,422.48,430.93,420.61,429.38,9128343
2013-11-01,427.22,434.95,424.06,426.36,5487655
2013-11-05,424.06,432.67,424.06,427.04,5056001
2013-11-06,427.18,431.82,420.11,421.83,4439539
2013-11-07,422.01,425.21,414.08,415.86,4519284
2013-11-08,415.91,416.85,408.94,411.19,4040793
2013-11-11,410.28,414.08,403.8,405.54,4107915
2013-11-12,406.05,409.15,399.11,400.23,5616361
2013-11-13,398.96,404.36,395.3,396.38,3872692
2013-11-14,399.6,405.58,399.2,399.79,3706479
2013-11-18,402.81,412.04,401.9,410.63,5571764
2013-11-19,410.75,415.39,410.75,412.32,3892698
2013-11-20,410.68,414.5,402.3,404.88,6041338
2013-11-21,403.66,403.71,395.94,397.89,5291418
2013-11-22,399.48,402.04,393.89,396.08,3453001
2013-11-25,397.77,402.23,396.22,399.81,4651182
2013-11-26,399.25,402.2,393.17,394.9,6445301
2013-11-27,396.43,398.78,392.09,393.36,5271168
2013-11-28,395.77,402.02,395.77,398.05,5790300
2013-11-29,399.46,402.06,398.35,400.51,4561538
2013-12-02,400.42,405.09,400.09,401.5,3332837
2013-12-03,401.36,406.29,399.32,404.6,4238703
2013-12-04,404.13,407.23,400.51,401.85,4043235
2013-12-05,409.34,411.69,407.48,408.87,5784625
2013-12-06,408.47,410.58,404.27,406.85,3369441
2013-12-09,414.08,416.85,411.31,412.6,5863282
2013-12-10,412.39,417.18,412.39,415.28,4023615
2013-12-11,414.27,415.42,409.57,414.32,2297148
2013-12-12,412.16,413.09,407.46,408.49,2625949
2013-12-13,406.99,407.51,402.6,405.91,4119399
2013-12-16,403.71,404.76,395.82,396.69,4636282
2013-12-17,398.4,400.37,392.79,393.94,4656266
2013-12-18,393.94,405.51,393.94,403.68,5542546
2013-12-19,405.77,405.77,396.05,400.91,6207421
2013-12-20,409.34,421.54,404.69,420.21,9464725
2013-12-23,422.01,426.71,417.79,420.72,7472593
2013-12-24,420.84,424.83,420.18,421.57,3372075
2013-12-26,419.9,422.48,414.08,416.64,6747066
2013-12-27,417.13,419.62,411.64,412.55,3574114
2013-12-30,413.56,417.72,411.15,416.43,4760614
2013-12-31,416.85,421.66,416.43,420.23,2633322
2014-01-01,421.29,421.66,416.66,417.23,2699496
2014-01-02,416.71,420.61,408.45,410.75,2779905
2014-01-03,409.15,409.97,401.36,405.7,5922841
2014-01-06,404.69,405.23,399.01,401.34,6145266
2014-01-07,401.17,403.68,394.34,395.3,7989240
2014-01-08,396.38,402.46,396.38,398.57,5873245
2014-01-09,399.22,400.8,396.69,399.34,3834687
2014-01-10,398.24,411.36,398.07,402.84,6848648
2014-01-13,407.58,414.5,407.46,413.28,5565035
2014-01-14,412.39,415.23,409.55,413.8,5572863
2014-01-15,415.3,420.14,413.56,415.65,5842783
2014-01-16,417.18,419.34,414.06,415.98,8324700
2014-01-17,417.39,421.03,413.21,415.32,7136269
2014-01-20,416.33,417.32,406.57,408.28,7649848
2014-01-21,409.64,410.09,404.64,405.14,4525635
2014-01-22,405.35,410.91,402.84,409.55,3930929
2014-01-23,403.99,409.01,403.99,406.43,6353622
2014-01-24,404.64,410.58,404.22,407.3,5482165
2014-01-27,401.83,404.08,394.48,395.8,5697602
2014-01-28,397.6,401.83,395.58,396.59,5341304
2014-01-29,398.92,400.19,391.97,392.72,5710675
2014-01-30,390.28,391.43,385.96,387.28,6508090
2014-01-31,388.21,391.24,387.82,390.16,5094198
2014-02-03,387.84,389.53,384.67,385.35,3797110
2014-02-04,382.35,388.05,381.71,385.66,5705177
2014-02-05,384.98,385.63,378.78,383.64,5214233
2014-02-06,384.93,386.85,379.37,382.98,4996430
2014-02-07,385.91,386.71,380.52,382.32,3903851
2014-02-10,382.7,387.56,380.77,385.84,4774310
2014-02-11,386.34,387.28,376.83,378.0,5819129
2014-02-12,379.3,385.82,379.01,383.94,4536031
2014-02-13,384.41,384.41,377.91,379.01,3995344
2014-02-14,381.13,386.81,379.3,385.89,4254449
2014-02-17,383.83,385.87,378.85,381.31,4180498
2014-02-18,378.87,383.92,378.87,381.71,2649597
2014-02-19,381.64,384.93,380.23,381.29,2829058
2014-02-20,380.84,381.97,377.0,378.1,3711149
2014-02-21,378.87,383.05,378.17,380.94,2887269
2014-02-24,379.32,382.56,378.03,381.34,3138488
2014-02-25,382.25,383.05,379.08,380.49,3248652
2014-02-26,380.7,383.45,379.41,380.56,6280112
2014-02-28,380.56,382.75,372.3,375.52,8745362
2014-03-03,375.59,378.73,374.2,377.14,5369772
2014-03-04,376.95,382.42,376.76,381.62,4152138
2014-03-05,382.84,383.99,377.96,378.83,5458460
2014-03-06,379.93,386.99,379.91,386.08,4694648
2014-03-07,387.28,410.28,387.28,408.12,15505096
2014-03-10,406.1,424.2,405.3,415.65,15169257
2014-03-11,415.44,416.76,409.39,410.63,5898052
2014-03-12,410.28,414.46,407.3,409.03,4352584
2014-03-13,410.75,420.02,410.61,412.88,7947870
2014-03-14,410.28,417.77,407.95,415.98,7633460
2014-03-18,417.55,426.61,417.55,420.82,8784579
2014-03-19,422.48,427.13,420.25,423.89,7557704
2014-03-20,423.23,426.0,421.61,425.3,13712058
2014-03-21,425.77,428.75,414.1,415.82,10176519
2014-03-24,418.38,426.59,418.31,425.02,13298333
2014-03-25,412.63,414.27,409.57,412.77,14444748
2014-03-26,413.68,423.87,413.63,418.35,6373779
2014-03-27,420.07,424.78,418.77,422.84,25570753
2014-03-28,422.48,431.85,422.48,430.06,8615115
2014-03-31,430.11,441.17,428.68,436.92,8653996
2014-04-01,439.38,443.61,436.24,442.48,7218138
2014-04-02,443.61,451.59,440.37,449.8,12359049
2014-04-03,449.15,452.03,441.45,447.2,12253233
2014-04-04,446.89,447.48,441.99,443.26,5775152
2014-04-07,443.14,448.28,438.61,443.21,5955770
2014-04-09,445.95,453.79,444.62,451.66,6202071
2014-04-10,452.85,457.17,451.68,454.9,4914743
2014-04-11,451.73,455.84,446.24,447.71,5395681
2014-04-15,445.95,447.83,439.66,445.53,4275577
2014-04-16,444.31,450.18,440.37,441.87,5713958
2014-04-17,443.61,451.49,443.04,450.23,3620835
2014-04-21,455.32,455.32,448.82,450.46,5453637
2014-04-22,450.65,464.14,448.82,454.29,8921634
2014-04-23,454.87,460.98,452.64,454.0,7055638
2014-04-24,454.0,454.0,454.0,454.0,0
2014-04-25,454.4,454.87,444.08,445.13,6115867
2014-04-28,445.86,448.77,441.89,443.61,7665779
2014-04-29,444.1,446.78,440.32,441.4,3874982
2014-04-30,443.09,450.65,436.14,439.29,6641527
2014-05-02,441.26,444.73,434.69,435.67,4186059
2014-05-05,434.22,449.94,434.22,444.48,7014449
2014-05-06,444.97,453.93,444.8,452.22,5719003
2014-05-07,450.7,456.0,449.26,451.05,4878777
2014-05-08,452.1,455.39,446.31,450.79,5514545
2014-05-09,448.68,468.96,448.68,468.3,8515647
2014-05-12,467.03,492.43,466.66,482.9,14236238
2014-05-13,488.2,501.72,485.62,499.19,12397395
2014-05-14,499.47,501.35,488.72,490.78,8941880
2014-05-15,490.78,497.59,487.85,494.49,9629064
2014-05-16,516.38,542.5,503.11,511.24,24290388
2014-05-19,516.8,532.79,514.86,530.56,10982753
2014-05-20,534.28,534.8,509.56,511.52,10387940
2014-05-21,511.52,522.46,508.63,510.84,10149114
2014-05-22,514.44,527.41,513.82,521.45,8650897
2014-05-23,526.54,536.23,522.01,534.07,7645583
2014-05-26,536.46,540.02,509.22,521.87,7417956
2014-05-27,522.49,524.86,509.27,515.36,5202662
2014-05-28,516.14,524.19,513.84,515.81,5238860
2014-05-29,517.51,517.94,506.07,508.54,12764704
2014-05-30,513.96,516.19,502.12,504.35,7981124
2014-06-02,509.11,515.5,504.63,512.64,4064105
2014-06-03,513.16,522.01,510.34,518.89,5018511
2014-06-04,517.59,521.92,509.82,510.41,4073385
2014-06-05,510.88,518.65,504.13,516.28,9218198
2014-06-06,524.57,536.7,523.01,531.68,13530870
2014-06-09,535.28,536.56,526.8,531.8,6229234
2014-06-10,535.49,535.49,521.28,529.74,7273514
2014-06-11,530.54,530.54,517.51,522.06,6998372
2014-06-12,520.38,527.46,513.54,518.3,5430629
2014-06-13,521.21,524.38,508.14,512.49,6759544
2014-06-16,513.49,513.49,500.77,504.7,6632388
2014-06-17,501.22,517.89,501.22,516.35,7303217
2014-06-18,515.38,521.85,502.43,505.32,8866659
2014-06-19,508.75,509.2,488.67,493.64,10672777
2014-06-20,495.44,497.1,489.92,490.99,5932619
